id,topic1,topic2,topic3,published_year
LambdaAuth,Computer science,Programming languages,Lambda calculi,2019
Binding_Syntax_Theory,Computer science,Programming languages,Lambda calculi,2019
Higher_Order_Terms,Computer science,Programming languages,Lambda calculi,2019
LambdaMu,Computer science,Programming languages,Lambda calculi,2017
Launchbury,Computer science,Programming languages,Lambda calculi,2013
PCF,Computer science,Programming languages,Lambda calculi,2012
Lam-ml-Normalization,Computer science,Programming languages,Lambda calculi,2010
POPLmark-deBruijn,Computer science,Programming languages,Lambda calculi,2007
AutoCorres2,Computer science,Programming languages,Language definitions,2024
JinjaDCI,Computer science,Programming languages,Language definitions,2021
Isabelle_C,Computer science,Programming languages,Language definitions,2019
Safe_OCL,Computer science,Programming languages,Language definitions,2019
WebAssembly,Computer science,Programming languages,Language definitions,2018
CakeML,Computer science,Programming languages,Language definitions,2018
Complx,Computer science,Programming languages,Language definitions,2016
Isabelle_Meta_Model,Computer science,Programming languages,Language definitions,2015
pGCL,Computer science,Programming languages,Language definitions,2014
GPU_Kernel_PL,Computer science,Programming languages,Language definitions,2014
FocusStreamsCaseStudies,Computer science,Programming languages,Language definitions,2013
AutoFocus-Stream,Computer science,Programming languages,Language definitions,2011
LightweightJava,Computer science,Programming languages,Language definitions,2011
Locally-Nameless-Sigma,Computer science,Programming languages,Language definitions,2010
Simpl,Computer science,Programming languages,Language definitions,2008
JinjaThreads,Computer science,Programming languages,Language definitions,2007
CoreC++,Computer science,Programming languages,Language definitions,2006
FeatherweightJava,Computer science,Programming languages,Language definitions,2006
Jinja,Computer science,Programming languages,Language definitions,2005
RG_Locks,Computer science,Programming languages,Logics,2025
Shallow_Expressions,Computer science,Programming languages,Logics,2025
AutoCorres2,Computer science,Programming languages,Logics,2024
HyperHoareLogic,Computer science,Programming languages,Logics,2023
CommCSL,Computer science,Programming languages,Logics,2023
Rensets,Computer science,Programming languages,Logics,2023
HoareForDivergence,Computer science,Programming languages,Logics,2023
Separation_Logic_Unbounded,Computer science,Programming languages,Logics,2022
